Municipio,Colonia,Operación,Precio,Moneda,Título/Colonia,Tipo,Recámaras,Baños,m²,codigo_eb,Liga,lat,lon,Fuente,Fecha_Corrida
Guadalajara,Ladrón de Guevara,VENTA,69000000.0,MXN,SE VENDE PROPIEDAD PARA DESARROLLO VERTICAL O COMERCIAL . AV. AMERICA EN GDL.,Terreno comercial,,,964.0,EB-WC3442,https://www.aciertamax.com/property/terreno-propiedad-para-desarrollo-vertical-o-comercial-av-america-en-gdl,20.6812492,-103.3732606,EasyBroker-aciertamax,2026-09-20
Guadalajara,Sutaj,VENTA,69000000.0,MXN,OPORTUNIDAD! LOCAL COMERCIAL SOBRE AV REVOLUCION,Terreno comercial,,,3150.0,EB-VG9021,https://www.aciertamax.com/property/oportunidad-local-comercial-sobre-av-revolucion,20.6515776,-103.3118307,EasyBroker-aciertamax,2026-09-20
Guadalajara,Colonial Independencia,VENTA,66600000.0,MXN,"TERRENO EN VENTA EN LA COLONIA INDEPENDENCIA, GUADALAJARA",Terreno,,,3700.0,EB-OF8515,https://www.aciertamax.com/property/terreno-en-venta-en-la-colonia-independencia-guadalajara,20.7077093209,-103.3264857617,EasyBroker-aciertamax,2026-09-20
Guadalajara,Lomas del Valle,VENTA,66050000.0,MXN,Casa en venta Lomas del Valle,Casa,5,5,1200.0,EB-WV8653,https://www.aciertamax.com/property/casa-en-venta-lomas-del-valle-140b8f38-6513-4883-a9fa-8af690852c3c,20.6900829335,-103.4069382455,EasyBroker-aciertamax,2026-09-20
Guadalajara,Jardines del Bosque Norte,VENTA,66000000.0,MXN,Oportunidad Única: Terreno-Bodega en Venta en Zona Comercial de Guadalajara,Terreno,,,2660.0,EB-OL5598,https://www.aciertamax.com/property/oportunidad-unica-terreno-bodega-en-venta-en-zona-comercial-de-guadalajara,20.663084,-103.3778318,EasyBroker-aciertamax,2026-09-20
Guadalajara,Jardines del Bosque Norte,VENTA,66000000.0,MXN,Oportunidad Única: Bodega en Venta en Zona Comercial de Guadalajara,Bodega comercial,,,2300.0,EB-OL5585,https://www.aciertamax.com/property/oportunidad-unica-bodega-en-venta-en-zona-comercial-de-guadalajara,20.663084,-103.3778318,EasyBroker-aciertamax,2026-09-20
Guadalajara,Americana,VENTA,65000000.0,MXN,"EDIFICIO COMPLETO EN VENTA EN AV. VALLARTA, COLONIA AMERICANA",Edificio,,,2664.0,EB-WB8250,https://www.aciertamax.com/property/edificio-completo-en-venta-en-av-vallarta-colonia-americana,20.6750267,-103.3615179,EasyBroker-aciertamax,2026-09-20
Guadalajara,Moderna,VENTA,65000000.0,MXN,"Venta de Edificio en Col. Americana, Guadalajara Jalisco",Edificio,,,2627.0,EB-UC1322,https://www.aciertamax.com/property/venta-de-edificio-en-guadalajara,20.6750267,-103.3615179,EasyBroker-aciertamax,2026-09-20
Guadalajara,Colinas de San Javier,VENTA,65000000.0,MXN,"Casa en con Alberca y Cine en Venta Colinas de San Javier, Guadalajara, Jalisco.",Casa en condominio,4,5,1328.0,EB-OV3577,https://www.aciertamax.com/property/casa-en-con-alberca-en-venta-colinas-de-san-javier-guadalajara-jalisco,20.7056713,-103.3962778,EasyBroker-aciertamax,2026-09-20
Guadalajara,Circunvalación Guevara,VENTA,61880000.0,MXN,"OFICINAS EN VENTA EN TORRE BANSI, LOPEZ MATEOS Piso 28",Oficina,,2,637.92,EB-UV2846,https://www.aciertamax.com/property/oficinas-en-venta-en-torre-bansi-lopez-mateos-piso-28,20.6820753,-103.3826385,EasyBroker-aciertamax,2026-09-20
Guadalajara,San Carlos,VENTA,60000000.0,MXN,BODEGA EN VENTA CON OFICINAS COL. SAN CARLOS,Bodega industrial,,,3238.0,EB-PY9151,https://www.aciertamax.com/property/bodega-en-venta-con-oficinas-col-san-carlos,20.6580389,-103.3425501,EasyBroker-aciertamax,2026-09-20
Guadalajara,Huentitán El Alto,VENTA,59900000.0,MXN,"EN ESQUINA, TERRENO COMERCIAL HABITACIONAL VERTICAL CS-3",Terreno,,,5309.0,EB-SO4985,https://www.aciertamax.com/property/en-esquina-terreno-comercial-habitacional-vertical-cs-3,20.7175556,-103.2960635,EasyBroker-aciertamax,2026-09-20
Guadalajara,Santa Elena Alcalde Oriente,VENTA,58000000.0,MXN,Local comercial en venta,Local comercial,,2,1256.0,EB-JV1505,https://www.aciertamax.com/property/local-comercial-en-venta-santa-elena-alcalde-oriente,20.7075189,-103.3470823,EasyBroker-aciertamax,2026-09-20
Guadalajara,Sutaj,VENTA,57000000.0,MXN,TERRENO EN VENTA EN AV. REVOLUCION,Terreno,,,3141.0,EB-TV3630,https://www.aciertamax.com/property/terreno-en-venta-en-av-revolucion-sutaj,20.6515259,-103.3116038,EasyBroker-aciertamax,2026-09-20
Guadalajara,Arcos Vallarta,VENTA,55000000.0,MXN,Av. La Paz esquina inmejorable a 6 cuadras de la Glorieta Minerva,Oficina,,,1696.05,EB-WS3900,https://www.aciertamax.com/property/arcos-vallarta-esquina-inmejorable,20.6724553,-103.3824476,EasyBroker-aciertamax,2026-09-20
Guadalajara,Arcos Vallarta,VENTA,55000000.0,MXN,Propiedad con Uso de Suelo para Comercio y Servicios,Casa con uso de suelo,8,,964.0,EB-RH9703,https://www.aciertamax.com/property/propiedad-con-uso-de-suelo-para-comercio-y-servicios,20.6770285,-103.3815292,EasyBroker-aciertamax,2026-09-20
Guadalajara,Italia Providencia,VENTA,55000000.0,MXN,PENTHOUSE EN VENTA - PROVIDENCIA,Departamento,4,4,900.0,EB-NO4441,https://www.aciertamax.com/property/penthouse-en-venta-providencia-italia-providencia,20.6940071,-103.3775019,EasyBroker-aciertamax,2026-09-20
Guadalajara,Ladrón de Guevara,VENTA,54700000.0,MXN,"Terreno en esquina estratégica — Av. Hidalgo esquina Bernardo de Balbuena, Colon",Terreno,,,1403.0,EB-TY6896,https://www.aciertamax.com/property/terreno-en-esquina-estrategica-av-hidalgo-esquina-bernardo-de-balbuena-colon,20.6770779,-103.3728535,EasyBroker-aciertamax,2026-09-20
Guadalajara,Colinas de San Javier,VENTA,54000000.0,MXN,Casa espectacular en venta en  colinas de Sn Javier,Casa,4,6,784.0,EB-WV8572,https://www.aciertamax.com/property/casa-espectacular-en-venta-en-colinas-de-sn-javier,20.6951298381,-103.3985872628,EasyBroker-aciertamax,2026-09-20
Guadalajara,Atlas,VENTA,53000000.0,MXN,Bodega en venta en González Gallo I Guadalajara,Bodega comercial,,,3095.0,EB-TK9175,https://www.aciertamax.com/property/excelente-bodega-en-gonzales-gallo-atencion-inversionistas-oportunidad-unica,20.6500324,-103.3354407,EasyBroker-aciertamax,2026-09-20
Guadalajara,Santa Elena Alcalde Poniente,VENTA,53000000.0,MXN,Casa Habitacion/ Locales comerciales /Oficinas,Casa,5,4,2117.0,EB-JS9723,https://www.aciertamax.com/property/casa-habitacion-locales-comerciales-oficinas,20.6719563,-103.416501,EasyBroker-aciertamax,2026-09-20
Guadalajara,Zona Industrial 1a. Sección,VENTA,52205000.0,MXN,Bodega en VENTA  en Zona Industrial de Guadalajara,Bodega industrial,,,854.0,EB-RR1893,https://www.aciertamax.com/property/bodega-en-venta-y-renta-en-zona-industrial-de-guadalajara,20.6407792,-103.3522987,EasyBroker-aciertamax,2026-09-20
Guadalajara,Moderna,VENTA,52000000.0,MXN,"Edificio Comercial en venta, sobre Niños Héroes en esquina, a una cuadra de  Enr",Edificio,,,3250.0,EB-WD9487,https://www.aciertamax.com/property/edificio-comercial-en-venta-sobre-ninos-heroes-en-esquina-a-una-cuadra-de-enr,20.6665533,-103.3616409,EasyBroker-aciertamax,2026-09-20
Guadalajara,Arcos Vallarta,VENTA,50000000.0,MXN,Edificio completo en Venta - excelente oportunidad de Inversión,Edificio,,,2500.0,EB-VK9849,https://www.aciertamax.com/property/edificio-completo-en-venta-excelente-oportunidad-de-inversion,20.6693346,-103.3819699,EasyBroker-aciertamax,2026-09-20
Guadalajara,Lomas Del Country,VENTA,50000000.0,MXN,Terreno en venta atrás de Lomas del Country,Terreno,,,2107.28,EB-VK2099,https://www.aciertamax.com/property/terreno-en-venta-atras-de-lomas-del-country,20.7036318,-103.3635709,EasyBroker-aciertamax,2026-09-20
Guadalajara,Mercado de Abastos,VENTA,50000000.0,MXN,Excelente Bodega sobre Avenida Principal del Mercado de Abastos (enfocado en ubi,Bodega comercial,,,150.0,EB-UL6830,https://www.aciertamax.com/property/excelente-bodega-sobre-avenida-principal-del-mercado-de-abastos-enfocado-en-ubi,20.659215,-103.379244,EasyBroker-aciertamax,2026-09-20
Guadalajara,Colinas de San Javier,VENTA,49950000.0,MXN,Residencia Venta Colinas de San Javier,Casa,3,4,932.0,EB-VV5697,https://www.aciertamax.com/property/residencia-venta-colinas-de-san-javier-colinas-de-san-javier,20.7017964,-103.400443,EasyBroker-aciertamax,2026-09-20
Guadalajara,Colinas de San Javier,VENTA,49950000.0,MXN,Venta Residencia Av Acueducto Colinas de San Javier,Casa,3,4,932.0,EB-VU6203,https://www.aciertamax.com/property/venta-residencia-av-acueducto-colinas-de-san-javier,20.7017964,-103.400443,EasyBroker-aciertamax,2026-09-20
Guadalajara,Colinas de San Javier,VENTA,49600000.0,MXN,Residencia Icónica con Doble Frente en Colinas de San Javier,Casa,5,8,997.0,EB-WL8721,https://www.aciertamax.com/property/residencia-iconica-con-doble-frente-en-colinas-de-san-javier-colinas-de-san-javier-guadalajara,20.6997642,-103.4006613,EasyBroker-aciertamax,2026-09-20
Guadalajara,Jardines del Bosque Centro,VENTA,48650000.0,MXN,"🏗️ Terreno Comercial en Venta sobre Av. Inglaterra | Jardines del Bosque, Gdl.",Terreno comercial,,,2750.0,EB-VD9017,https://www.aciertamax.com/property/terreno-comercial-en-venta-sobre-av-inglaterra-jardines-del-bosque-gdl,20.6679437,-103.3831942,EasyBroker-aciertamax,2026-09-20
Guadalajara,Circunvalación Oblatos,VENTA,48000000.0,MXN,Hospital en Funcionamiento en Venta en Zona Oblatos,Edificio,,,2121.5,EB-UQ4620,https://www.aciertamax.com/property/hospital-en-funcionamiento-en-venta-en-zona-oblatos,20.6877014936,-103.2912456118,EasyBroker-aciertamax,2026-09-20
